id_venta,fecha_venta,id_cliente,nombre_cliente,edad,ciudad,region,canal_venta,cantidad,precio_unitario_clp,total_venta_clp,monto_compra,fin_de_semana,tipo_compra,etapa_vida,meta_anual
3,2022-01-01,32,Joshua Abarca,34,viña del mar,Región de Valparaíso,Web,1,883453,883453,253472,True,Individual,Adulto Joven,15000000
4,2022-01-01,611,Juan Vera,22,concepción,Región del Biobío,Web,2,939616,1879232,135381,True,Pack,Joven,15000000
6,2022-01-01,1272,Andrés Quiroz,23,viña del mar,Región de Valparaíso,Tienda,1,582399,582399,544934,True,Individual,Joven,15000000
7,2022-01-01,2854,Anahí Moncada,34,santiago,Región Metropolitana de Santiago,Web,4,1091352,4365408,544934,True,Pack,Adulto Joven,15000000
9,2022-01-01,2462,Victoria Barra,21,santiago,Región Metropolitana de Santiago,Web,1,722416,722416,544934,True,Individual,Joven,15000000
13,2022-01-01,862,Maribel Huerta,32,santiago,Región Metropolitana de Santiago,App,2,888444,1776888,507960,True,Pack,Adulto Joven,15000000
14,2022-01-01,4494,Juan Sepúlveda,21,concepción,Región del Biobío,App,2,456930,913860,544934,True,Pack,Joven,15000000
16,2022-01-01,1065,Diana Carrasco,51,valparaíso,Región de Valparaíso,Tienda,4,402757,1611028,544934,True,Pack,Senior,15000000
18,2022-01-01,4769,María Marín,33,talca,Región del Maule,Tienda,3,164139,492417,544934,True,Pack,Adulto Joven,15000000
19,2022-01-01,4864,Ethan Cerda,21,santiago,Región Metropolitana de Santiago,App,4,519041,2076164,544934,True,Pack,Joven,15000000
20,2022-01-01,3897,Rolando Bobadilla,34,temuco,Región de la Araucanía,Web,1,1071678,1071678,544934,True,Individual,Adulto Joven,15000000
26,2022-01-01,510,Mónica Morán,19,santiago,Región Metropolitana de Santiago,App,2,706071,1412142,753148,True,Pack,Joven,15000000
28,2022-01-01,3590,Wilson Salazar,42,concepción,Región del Biobío,Tienda,2,619849,1239698,544934,True,Pack,Adulto Joven,15000000
29,2022-01-01,4161,Waldo Cuevas,60,santiago,Región Metropolitana de Santiago,Web,2,1037380,2074760,544934,True,Pack,Senior,15000000
30,2022-01-01,5122,Matías Santibáñez,35,santiago,Región Metropolitana de Santiago,Tienda,1,1082806,1082806,544934,True,Individual,Adulto Joven,15000000
32,2022-01-02,26,Belén Jara,33,santiago,Región Metropolitana de Santiago,Web,2,441323,882646,806658,True,Pack,Adulto Joven,15000000
36,2022-01-02,3097,Nora Carreño,42,la serena,Región de Coquimbo,Web,1,1046949,1046949,544934,True,Individual,Adulto Joven,15000000
38,2022-01-02,4288,Hugo Vega,26,santiago,Región Metropolitana de Santiago,Web,3,250845,752535,544934,True,Pack,Joven,15000000
39,2022-01-02,3316,Damián Bravo,52,santiago,Región Metropolitana de Santiago,Web,4,252184,1008736,544934,True,Pack,Senior,15000000
