id_venta,fecha_venta,id_cliente,nombre_cliente,edad,ciudad,region,canal_venta,cantidad,precio_unitario_clp,total_venta_clp,monto_compra
3,01-01-2022,32,Joshua Abarca,34,viña del mar,Región de Valparaíso,Web,1,883453,883453,253472.0
4,01-01-2022,611,Juan Vera,22,concepción,Región del Biobío,Web,2,939616,1879232,135381.0
6,01-01-2022,1272,Andrés Quiroz,23,viña del mar,Región de Valparaíso,Tienda,1,582399,582399,544934.0
7,01-01-2022,2854,Anahí Moncada,34,santiago,Región Metropolitana de Santiago,Web,4,1091352,4365408,544934.0
9,01-01-2022,2462,Victoria Barra,21,santiago,Región Metropolitana de Santiago,Web,1,722416,722416,544934.0
13,01-01-2022,862,Maribel Huerta,32,santiago,Región Metropolitana de Santiago,App,2,888444,1776888,507960.0
14,01-01-2022,4494,Juan Sepúlveda,21,concepción,Región del Biobío,App,2,456930,913860,544934.0
16,01-01-2022,1065,Diana Carrasco,51,valparaíso,Región de Valparaíso,Tienda,4,402757,1611028,544934.0
18,01-01-2022,4769,María Marín,33,talca,Región del Maule,Tienda,3,164139,492417,544934.0
19,01-01-2022,4864,Ethan Cerda,21,santiago,Región Metropolitana de Santiago,App,4,519041,2076164,544934.0
20,01-01-2022,3897,Rolando Bobadilla,34,temuco,Región de la Araucanía,Web,1,1071678,1071678,544934.0
26,01-01-2022,510,Mónica Morán,19,santiago,Región Metropolitana de Santiago,App,2,706071,1412142,753148.0
28,01-01-2022,3590,Wilson Salazar,42,concepción,Región del Biobío,Tienda,2,619849,1239698,544934.0
29,01-01-2022,4161,Waldo Cuevas,60,santiago,Región Metropolitana de Santiago,Web,2,1037380,2074760,544934.0
30,01-01-2022,5122,Matías Santibáñez,35,santiago,Región Metropolitana de Santiago,Tienda,1,1082806,1082806,544934.0
32,02-01-2022,26,Belén Jara,33,santiago,Región Metropolitana de Santiago,Web,2,441323,882646,806658.0
36,02-01-2022,3097,Nora Carreño,42,la serena,Región de Coquimbo,Web,1,1046949,1046949,544934.0
38,02-01-2022,4288,Hugo Vega,26,santiago,Región Metropolitana de Santiago,Web,3,250845,752535,544934.0
39,02-01-2022,3316,Damián Bravo,52,santiago,Región Metropolitana de Santiago,Web,4,252184,1008736,544934.0
43,02-01-2022,5657,Gilberto Barahona,41,santiago,Región Metropolitana de Santiago,App,4,696160,2784640,544934.0
44,02-01-2022,2966,Jacqueline Ahumada,44,santiago,Región Metropolitana de Santiago,Tienda,4,1175263,4627197,544934.0
47,02-01-2022,4479,Javier Orellana,34,talca,Región del Maule,Web,1,1085712,1085712,544934.0
49,02-01-2022,1581,Rodrigo Peña,34,concepción,Región del Biobío,App,4,553471,2213884,544934.0
50,02-01-2022,1132,Ida Aguirre,31,santiago,Región Metropolitana de Santiago,Web,2,952106,1904212,544934.0
52,02-01-2022,5635,Daniela Fernández,61,santiago,Región Metropolitana de Santiago,Tienda,1,350518,350518,544934.0
53,02-01-2022,1617,Elizabeth Díaz,34,santiago,Región Metropolitana de Santiago,App,3,929753,2789259,544934.0
55,02-01-2022,4564,Nancy Araneda,34,santiago,Región Metropolitana de Santiago,Tienda,4,447857,1791428,544934.0
56,02-01-2022,2855,César Díaz,34,santiago,Región Metropolitana de Santiago,App,1,784553,784553,544934.0
58,02-01-2022,3987,Jaime Salinas,30,valparaíso,Región de Valparaíso,App,2,277735,555470,544934.0
59,02-01-2022,1087,Ximena Torres,34,viña del mar,Región de Valparaíso,App,2,989287,1978574,544934.0
61,03-01-2022,4955,Eduardo Gómez,46,concepción,Región del Biobío,Tienda,2,1136463,2272926,544934.0
62,03-01-2022,5635,Daniela Fernández,61,santiago,Región Metropolitana de Santiago,App,2,798768,1597536,544934.0
