id_venta,fecha_venta,id_cliente,nombre_cliente,edad,ciudad,region,canal_venta,cantidad,precio_unitario_clp,total_venta_clp,habitantes (2023),monto_compra
1,01-01-2022,4269,Gastón González,29.0,antofagasta,,App,4,657637,2630548,,
2,01-01-2022,118,Javiera Flores,33.0,viña del mar,,Tienda,3,1121071,3363213,,267913.0
3,01-01-2022,32,Joshua Abarca,,viña del mar,valparaiso,Web,1,883453,883453,,253472.0
4,01-01-2022,611,Juan Vera,22.0,concepción,bio bio,Web,2,939616,1879232,,135381.0
5,01-01-2022,1814,José Vega,,rancagua,,Web,2,129348,258696,,
6,01-01-2022,1272,Andrés Quiroz,23.0,viña del mar,valparaiso,Tienda,1,582399,582399,,
7,01-01-2022,2854,Anahí Moncada,,santiago,region metropolitana,Web,4,1091352,4365408,,
8,01-01-2022,1991,Felipe Castillo,32.0,santiago,,App,1,927960,927960,,
9,01-01-2022,2462,Victoria Barra,21.0,santiago,region metropolitana,Web,1,722416,722416,,
10,01-01-2022,5506,Gianfranco Oyarzo,29.0,antofagasta,,Web,2,492859,985718,,
11,01-01-2022,5694,Jorge Alvarez,,valparaíso,,Web,1,594024,594024,,
12,01-01-2022,307,Luis Espinoza,62.0,antofagasta,,Tienda,1,543451,543451,,564670.0
13,01-01-2022,862,Maribel Huerta,32.0,santiago,metropolitana,App,2,888444,1776888,,507960.0
14,01-01-2022,4494,Juan Sepúlveda,21.0,concepción,bio bio,App,2,456930,913860,,
15,01-01-2022,4461,Gladys Burgos,,temuco,,App,1,1013893,1013893,,
16,01-01-2022,1065,Diana Carrasco,51.0,valparaíso,valparaíso,Tienda,4,402757,1611028,954 253,
17,01-01-2022,5327,Hans Hidalgo,25.0,temuco,,App,2,862881,1725762,,
18,01-01-2022,4769,María Marín,33.0,talca,maule,Tienda,3,164139,492417,307 931,
19,01-01-2022,4864,Ethan Cerda,21.0,santiago,metropolitana,App,4,519041,2076164,,
20,01-01-2022,3897,Rolando Bobadilla,,temuco,la araucanía,Web,1,1071678,1071678,,
21,01-01-2022,1814,José Vega,,rancagua,,Web,3,1188399,3565197,,
22,01-01-2022,4993,María Letelier,41.0,santiago,,App,4,162582,650328,,
23,01-01-2022,5580,Macarena Rojas,61.0,santiago,,Web,2,930351,1860702,,
24,01-01-2022,4435,Daniel Ulloa,22.0,concepción,,Web,4,86709,346836,,
25,01-01-2022,2201,José Zúñiga,23.0,santiago,,App,3,825758,2477274,,
26,01-01-2022,510,Mónica Morán,19.0,santiago,rm,App,2,706071,1412142,,753148.0
27,01-01-2022,4815,Miguel Rubilar,44.0,santiago,,Web,1,15062,15062,,
28,01-01-2022,3590,Wilson Salazar,42.0,concepción,biobío,Tienda,2,619849,1239698,1 036 142,
29,01-01-2022,4161,Waldo Cuevas,60.0,santiago,metropolitana,Web,2,1037380,2074760,,
30,01-01-2022,5122,Matías Santibáñez,35.0,santiago,region metropolitana,Tienda,1,1082806,1082806,,
31,02-01-2022,2612,Anita Vallejos,,la serena,,App,1,977970,977970,,
32,02-01-2022,26,Belén Jara,33.0,santiago,region metropolitana,Web,2,441323,882646,,806658.0
33,02-01-2022,1925,María Jorquera,24.0,viña del mar,,Web,2,995650,1991300,,
34,02-01-2022,4818,Carlos Hernández,31.0,santiago,,Tienda,1,146326,146326,,
35,02-01-2022,3306,Fernanda Zúñiga,,rancagua,,Tienda,3,1003682,3011046,,
36,02-01-2022,3097,Nora Carreño,42.0,la serena,coquimbo,Web,1,1046949,1046949,534 239,
37,02-01-2022,27,Luis Soto,,santiago,,Tienda,3,667650,2002950,,279706.0
38,02-01-2022,4288,Hugo Vega,26.0,santiago,region metropolitana,Web,3,250845,752535,,
39,02-01-2022,3316,Damián Bravo,52.0,santiago,region metropolitana,Web,4,252184,1008736,,
40,02-01-2022,5522,Ema Saavedra,36.0,santiago,,Tienda,2,174275,348550,,
41,02-01-2022,3325,Viviana Acosta,46.0,la serena,,Web,3,793436,2380308,,
42,02-01-2022,3794,Jazmín Cifuentes,34.0,viña del mar,,Web,3,454530,1363590,,
43,02-01-2022,5657,Gilberto Barahona,41.0,santiago,rm,App,4,696160,2784640,,
44,02-01-2022,2966,Jacqueline Ahumada,44.0,santiago,rm,Tienda,4,1175263,4701052,,
45,02-01-2022,1480,Cesar Venegas,30.0,santiago,,App,2,1108775,2217550,,
46,02-01-2022,5159,María Mancilla,,santiago,,Web,4,798975,3195900,,
47,02-01-2022,4479,Javier Orellana,,talca,maule,Web,1,1085712,1085712,307 931,
48,02-01-2022,2624,María Aguirre,37.0,valparaíso,,Web,1,614341,614341,,
49,02-01-2022,1581,Rodrigo Peña,,concepción,bio bio,App,4,553471,2213884,,
50,02-01-2022,1132,Ida Aguirre,31.0,santiago,rm,Web,2,952106,1904212,,
51,02-01-2022,1350,Joaquín Montenegro,32.0,viña del mar,,Web,2,54179,108358,,
52,02-01-2022,5635,Daniela Fernández,61.0,santiago,region metropolitana,Tienda,1,350518,350518,,
53,02-01-2022,1617,Elizabeth Díaz,34.0,santiago,rm,App,3,929753,2789259,,
54,02-01-2022,4888,José Contreras,20.0,concepción,,Tienda,2,726564,1453128,,
55,02-01-2022,4564,Nancy Araneda,,santiago,metropolitana,Tienda,4,447857,1791428,,
56,02-01-2022,2855,César Díaz,,santiago,metropolitana,App,1,784553,784553,,
